date,airline,source,destination,scheduled_flights,cancelled_flights,flown_flights,avg_fare_inr,on_time_pct,cancellation_rate,route,is_indigo,period
2025-08-01,IndiGo,DEL,BOM,21,0,21,3989.0,86.7,0.0,DEL-BOM,True,normal
2025-08-01,IndiGo,DEL,BLR,20,2,18,3777.0,88.3,0.1,DEL-BLR,True,normal
2025-08-01,IndiGo,BOM,BLR,14,0,14,2478.0,89.9,0.0,BOM-BLR,True,normal
2025-08-01,IndiGo,DEL,CCU,13,0,13,5519.0,83.6,0.0,DEL-CCU,True,normal
2025-08-01,IndiGo,BOM,HYD,14,0,14,4300.0,81.4,0.0,BOM-HYD,True,normal
2025-08-01,IndiGo,DEL,HYD,12,0,12,4188.0,78.7,0.0,DEL-HYD,True,normal
2025-08-01,IndiGo,BLR,MAA,15,0,15,2436.0,86.3,0.0,BLR-MAA,True,normal
2025-08-01,IndiGo,DEL,MAA,24,0,24,4096.0,83.2,0.0,DEL-MAA,True,normal
2025-08-01,IndiGo,BOM,PNQ,17,0,17,5151.0,78.2,0.0,BOM-PNQ,True,normal
2025-08-01,IndiGo,DEL,GOI,22,2,20,3591.0,88.7,0.091,DEL-GOI,True,normal
2025-08-01,IndiGo,BLR,CCU,20,1,19,3922.0,76.0,0.05,BLR-CCU,True,normal
2025-08-01,IndiGo,BOM,AMD,11,0,11,4931.0,93.1,0.0,BOM-AMD,True,normal
2025-08-01,Air India,DEL,BOM,23,0,23,3619.0,94.0,0.0,DEL-BOM,False,normal
2025-08-01,Air India,DEL,BLR,18,0,18,4278.0,83.2,0.0,DEL-BLR,False,normal
2025-08-01,Air India,BOM,BLR,16,0,16,4521.0,80.3,0.0,BOM-BLR,False,normal
2025-08-01,Air India,DEL,CCU,11,0,11,5024.0,87.0,0.0,DEL-CCU,False,normal
2025-08-01,Air India,BOM,HYD,22,1,21,5072.0,83.1,0.045,BOM-HYD,False,normal
2025-08-01,Air India,DEL,HYD,12,0,12,4467.0,86.6,0.0,DEL-HYD,False,normal
2025-08-01,Air India,BLR,MAA,17,1,16,3478.0,86.3,0.059,BLR-MAA,False,normal
2025-08-01,Air India,DEL,MAA,20,1,19,2473.0,84.8,0.05,DEL-MAA,False,normal
2025-08-01,Air India,BOM,PNQ,15,0,15,6417.0,87.9,0.0,BOM-PNQ,False,normal
2025-08-01,Air India,DEL,GOI,15,0,15,5229.0,89.5,0.0,DEL-GOI,False,normal
2025-08-01,Air India,BLR,CCU,15,0,15,2938.0,79.7,0.0,BLR-CCU,False,normal
2025-08-01,Air India,BOM,AMD,22,0,22,4290.0,82.0,0.0,BOM-AMD,False,normal
2025-08-01,SpiceJet,DEL,BOM,20,0,20,4262.0,88.2,0.0,DEL-BOM,False,normal
2025-08-01,SpiceJet,DEL,BLR,17,0,17,3495.0,83.1,0.0,DEL-BLR,False,normal
2025-08-01,SpiceJet,BOM,BLR,15,0,15,5376.0,83.1,0.0,BOM-BLR,False,normal
2025-08-01,SpiceJet,DEL,CCU,19,0,19,4670.0,86.8,0.0,DEL-CCU,False,normal
2025-08-01,SpiceJet,BOM,HYD,23,0,23,4409.0,86.4,0.0,BOM-HYD,False,normal
2025-08-01,SpiceJet,DEL,HYD,20,0,20,5879.0,87.8,0.0,DEL-HYD,False,normal
2025-08-01,SpiceJet,BLR,MAA,20,0,20,4908.0,89.6,0.0,BLR-MAA,False,normal
2025-08-01,SpiceJet,DEL,MAA,22,0,22,3979.0,80.5,0.0,DEL-MAA,False,normal
2025-08-01,SpiceJet,BOM,PNQ,15,1,14,4507.0,92.3,0.067,BOM-PNQ,False,normal
2025-08-01,SpiceJet,DEL,GOI,18,0,18,4763.0,79.9,0.0,DEL-GOI,False,normal
2025-08-01,SpiceJet,BLR,CCU,15,1,14,4634.0,84.3,0.067,BLR-CCU,False,normal
2025-08-01,SpiceJet,BOM,AMD,23,0,23,3798.0,90.1,0.0,BOM-AMD,False,normal
2025-08-01,Akasa Air,DEL,BOM,14,0,14,4547.0,86.4,0.0,DEL-BOM,False,normal
2025-08-01,Akasa Air,DEL,BLR,18,0,18,5175.0,91.3,0.0,DEL-BLR,False,normal
2025-08-01,Akasa Air,BOM,BLR,16,1,15,4662.0,85.1,0.062,BOM-BLR,False,normal
2025-08-01,Akasa Air,DEL,CCU,18,0,18,5059.0,88.9,0.0,DEL-CCU,False,normal
2025-08-01,Akasa Air,BOM,HYD,23,0,23,3987.0,84.8,0.0,BOM-HYD,False,normal
2025-08-01,Akasa Air,DEL,HYD,18,0,18,3775.0,91.5,0.0,DEL-HYD,False,normal
2025-08-01,Akasa Air,BLR,MAA,13,0,13,4812.0,99.0,0.0,BLR-MAA,False,normal
2025-08-01,Akasa Air,DEL,MAA,20,2,18,2377.0,86.1,0.1,DEL-MAA,False,normal
2025-08-01,Akasa Air,BOM,PNQ,22,0,22,4097.0,80.4,0.0,BOM-PNQ,False,normal
2025-08-01,Akasa Air,DEL,GOI,14,0,14,5789.0,87.4,0.0,DEL-GOI,False,normal
2025-08-01,Akasa Air,BLR,CCU,20,0,20,5129.0,80.6,0.0,BLR-CCU,False,normal
2025-08-01,Akasa Air,BOM,AMD,21,0,21,4599.0,89.6,0.0,BOM-AMD,False,normal
2025-08-01,Air India Express,DEL,BOM,18,0,18,3278.0,73.0,0.0,DEL-BOM,False,normal
2025-08-01,Air India Express,DEL,BLR,19,0,19,5497.0,76.4,0.0,DEL-BLR,False,normal
2025-08-01,Air India Express,BOM,BLR,18,0,18,4616.0,83.8,0.0,BOM-BLR,False,normal
2025-08-01,Air India Express,DEL,CCU,19,0,19,6120.0,73.3,0.0,DEL-CCU,False,normal
2025-08-01,Air India Express,BOM,HYD,26,0,26,3640.0,90.3,0.0,BOM-HYD,False,normal
2025-08-01,Air India Express,DEL,HYD,15,0,15,5010.0,86.8,0.0,DEL-HYD,False,normal
2025-08-01,Air India Express,BLR,MAA,15,2,13,4749.0,74.3,0.133,BLR-MAA,False,normal
2025-08-01,Air India Express,DEL,MAA,21,1,20,4004.0,91.6,0.048,DEL-MAA,False,normal
2025-08-01,Air India Express,BOM,PNQ,18,0,18,3921.0,83.4,0.0,BOM-PNQ,False,normal
2025-08-01,Air India Express,DEL,GOI,19,0,19,3295.0,77.7,0.0,DEL-GOI,False,normal
2025-08-01,Air India Express,BLR,CCU,20,0,20,4766.0,80.8,0.0,BLR-CCU,False,normal
2025-08-01,Air India Express,BOM,AMD,18,1,17,3457.0,83.1,0.056,BOM-AMD,False,normal
2025-08-02,IndiGo,DEL,BOM,19,0,19,3744.0,88.4,0.0,DEL-BOM,True,normal
2025-08-02,IndiGo,DEL,BLR,12,2,10,2897.0,76.6,0.167,DEL-BLR,True,normal
2025-08-02,IndiGo,BOM,BLR,17,0,17,5528.0,83.2,0.0,BOM-BLR,True,normal
2025-08-02,IndiGo,DEL,CCU,18,0,18,4490.0,80.0,0.0,DEL-CCU,True,normal
2025-08-02,IndiGo,BOM,HYD,21,0,21,4562.0,82.9,0.0,BOM-HYD,True,normal
